step,discrete_cut,gap,entropy
613,29838.0,3499.0,
614,29873.0,3464.0,
615,29961.0,3376.0,
616,29856.0,3481.0,
617,29999.0,3338.0,
618,30252.0,3085.0,
619,30333.0,3004.0,
620,30473.0,2864.0,
621,30495.0,2842.0,
622,30491.0,2846.0,
623,30629.0,2708.0,
624,30580.0,2757.0,
625,30604.0,2733.0,
626,30575.0,2762.0,
627,30575.0,2762.0,
628,30633.0,2704.0,
629,30650.0,2687.0,
630,30683.0,2654.0,
631,30725.0,2612.0,
632,30807.0,2530.0,
633,30828.0,2509.0,
634,30837.0,2500.0,
635,30640.0,2697.0,
636,30642.0,2695.0,
637,30617.0,2720.0,
638,30655.0,2682.0,
639,30651.0,2686.0,
640,30777.0,2560.0,
641,30757.0,2580.0,
642,30852.0,2485.0,
643,30851.0,2486.0,
644,30856.0,2481.0,
645,30859.0,2478.0,
646,30862.0,2475.0,
647,30860.0,2477.0,
648,30876.0,2461.0,
649,30937.0,2400.0,
650,30930.0,2407.0,
651,30917.0,2420.0,
652,30942.0,2395.0,
653,30970.0,2367.0,
654,30913.0,2424.0,
655,30936.0,2401.0,
656,30942.0,2395.0,
657,31084.0,2253.0,
658,30998.0,2339.0,
659,31103.0,2234.0,
660,30992.0,2345.0,
661,31163.0,2174.0,
662,31008.0,2329.0,
663,31174.0,2163.0,
664,30928.0,2409.0,
665,31002.0,2335.0,
666,30837.0,2500.0,
667,30728.0,2609.0,
668,30632.0,2705.0,
669,30456.0,2881.0,
670,30653.0,2684.0,
671,30705.0,2632.0,
672,30764.0,2573.0,
673,31016.0,2321.0,
674,31041.0,2296.0,
675,31232.0,2105.0,
676,31160.0,2177.0,
677,31027.0,2310.0,
678,31050.0,2287.0,
679,30997.0,2340.0,
680,30986.0,2351.0,
681,31058.0,2279.0,
682,31293.0,2044.0,
683,31076.0,2261.0,
684,31257.0,2080.0,
685,31242.0,2095.0,
686,31235.0,2102.0,
687,31230.0,2107.0,
688,31235.0,2102.0,
689,31279.0,2058.0,
690,31170.0,2167.0,
691,31316.0,2021.0,
692,31214.0,2123.0,
693,31321.0,2016.0,
694,31316.0,2021.0,
695,31349.0,1988.0,
696,31270.0,2067.0,
697,31304.0,2033.0,
698,31348.0,1989.0,
699,31336.0,2001.0,
700,31398.0,1939.0,
701,31297.0,2040.0,
702,31337.0,2000.0,
703,31295.0,2042.0,
704,31330.0,2007.0,
705,31375.0,1962.0,
706,31323.0,2014.0,
707,31370.0,1967.0,
708,31365.0,1972.0,
709,31410.0,1927.0,
710,31424.0,1913.0,
711,31418.0,1919.0,
712,31474.0,1863.0,
713,31434.0,1903.0,
714,31484.0,1853.0,
715,31477.0,1860.0,
716,31470.0,1867.0,
717,31505.0,1832.0,
718,31519.0,1818.0,
719,31515.0,1822.0,
720,31478.0,1859.0,
721,31570.0,1767.0,
722,31578.0,1759.0,
723,31589.0,1748.0,
724,31572.0,1765.0,
725,31589.0,1748.0,
726,31536.0,1801.0,
727,31590.0,1747.0,
728,31524.0,1813.0,
729,31715.0,1622.0,
730,31620.0,1717.0,
731,31731.0,1606.0,
732,31620.0,1717.0,
733,31721.0,1616.0,
734,31605.0,1732.0,
735,31782.0,1555.0,
736,31632.0,1705.0,
737,31766.0,1571.0,
738,31650.0,1687.0,
739,31735.0,1602.0,
740,31683.0,1654.0,
741,31742.0,1595.0,
742,31701.0,1636.0,
743,31788.0,1549.0,
744,31777.0,1560.0,
745,31900.0,1437.0,
746,31917.0,1420.0,
747,31880.0,1457.0,
748,31939.0,1398.0,
749,31860.0,1477.0,
750,31926.0,1411.0,
751,31891.0,1446.0,
752,31943.0,1394.0,
753,31978.0,1359.0,
754,31930.0,1407.0,
755,31943.0,1394.0,
756,32032.0,1305.0,
757,32048.0,1289.0,
758,32060.0,1277.0,
759,32102.0,1235.0,
760,32065.0,1272.0,
761,32091.0,1246.0,
762,32083.0,1254.0,
763,32103.0,1234.0,
764,32083.0,1254.0,
765,32079.0,1258.0,
766,32083.0,1254.0,
767,32084.0,1253.0,
768,32083.0,1254.0,
769,32074.0,1263.0,
770,32081.0,1256.0,
771,32085.0,1252.0,
772,32108.0,1229.0,
773,32127.0,1210.0,
774,32136.0,1201.0,
775,32127.0,1210.0,
776,32116.0,1221.0,
777,32130.0,1207.0,
778,32138.0,1199.0,
779,32144.0,1193.0,
780,32075.0,1262.0,
781,32147.0,1190.0,
782,32089.0,1248.0,
783,32117.0,1220.0,
784,32064.0,1273.0,
785,32084.0,1253.0,
786,32055.0,1282.0,
787,32102.0,1235.0,
788,32075.0,1262.0,
789,32091.0,1246.0,
790,32123.0,1214.0,
791,32131.0,1206.0,
792,32174.0,1163.0,
793,32130.0,1207.0,
794,32261.0,1076.0,
795,32187.0,1150.0,
796,32254.0,1083.0,
797,32149.0,1188.0,
798,32263.0,1074.0,
799,32190.0,1147.0,
800,32289.0,1048.0,
801,32185.0,1152.0,
802,32264.0,1073.0,
803,32160.0,1177.0,
804,32227.0,1110.0,
805,32129.0,1208.0,
806,32284.0,1053.0,
807,32136.0,1201.0,
808,32277.0,1060.0,
809,32140.0,1197.0,
810,32297.0,1040.0,
811,32189.0,1148.0,
812,32324.0,1013.0,
813,32287.0,1050.0,
814,32314.0,1023.0,
815,32326.0,1011.0,
816,32314.0,1023.0,
817,32302.0,1035.0,
818,32329.0,1008.0,
819,32319.0,1018.0,
820,32329.0,1008.0,
821,32329.0,1008.0,
822,32323.0,1014.0,
823,32329.0,1008.0,
824,32357.0,980.0,
825,32339.0,998.0,
826,32369.0,968.0,
827,32332.0,1005.0,
828,32389.0,948.0,
829,32325.0,1012.0,
830,32400.0,937.0,
831,32340.0,997.0,
832,32423.0,914.0,
833,32312.0,1025.0,
834,32430.0,907.0,
835,32315.0,1022.0,
836,32441.0,896.0,
837,32312.0,1025.0,
838,32446.0,891.0,
839,32314.0,1023.0,
840,32434.0,903.0,
841,32283.0,1054.0,
842,32424.0,913.0,
843,32281.0,1056.0,
844,32427.0,910.0,
845,32272.0,1065.0,
846,32401.0,936.0,
847,32282.0,1055.0,
848,32431.0,906.0,
849,32300.0,1037.0,
850,32448.0,889.0,
851,32317.0,1020.0,
852,32427.0,910.0,
853,32338.0,999.0,
854,32359.0,978.0,
855,32326.0,1011.0,
856,32352.0,985.0,
857,32355.0,982.0,
858,32352.0,985.0,
859,32378.0,959.0,
860,32352.0,985.0,
861,32391.0,946.0,
862,32365.0,972.0,
863,32389.0,948.0,
864,32359.0,978.0,
865,32357.0,980.0,
866,32353.0,984.0,
867,32348.0,989.0,
868,32354.0,983.0,
869,32347.0,990.0,
870,32402.0,935.0,
871,32331.0,1006.0,
872,32418.0,919.0,
873,32319.0,1018.0,
874,32424.0,913.0,
875,32320.0,1017.0,
876,32415.0,922.0,
877,32353.0,984.0,
878,32449.0,888.0,
879,32355.0,982.0,
880,32417.0,920.0,
881,32413.0,924.0,
882,32396.0,941.0,
883,32457.0,880.0,
884,32373.0,964.0,
885,32463.0,874.0,
886,32366.0,971.0,
887,32467.0,870.0,
888,32367.0,970.0,
889,32461.0,876.0,
890,32367.0,970.0,
891,32448.0,889.0,
892,32383.0,954.0,
893,32448.0,889.0,
894,32383.0,954.0,
895,32422.0,915.0,
896,32445.0,892.0,
897,32393.0,944.0,
898,32467.0,870.0,
899,32404.0,933.0,
900,32467.0,870.0,
901,32404.0,933.0,
902,32500.0,837.0,
903,32426.0,911.0,
904,32550.0,787.0,
905,32429.0,908.0,
906,32535.0,802.0,
907,32429.0,908.0,
908,32514.0,823.0,
909,32432.0,905.0,
910,32513.0,824.0,
911,32453.0,884.0,
912,32483.0,854.0,
913,32453.0,884.0,
914,32480.0,857.0,
915,32470.0,867.0,
916,32480.0,857.0,
917,32470.0,867.0,
918,32480.0,857.0,
919,32471.0,866.0,
920,32475.0,862.0,
921,32490.0,847.0,
922,32474.0,863.0,
923,32451.0,886.0,
924,32468.0,869.0,
925,32442.0,895.0,
926,32447.0,890.0,
927,32465.0,872.0,
928,32469.0,868.0,
929,32465.0,872.0,
930,32469.0,868.0,
931,32479.0,858.0,
932,32472.0,865.0,
933,32500.0,837.0,
934,32472.0,865.0,
935,32492.0,845.0,
936,32479.0,858.0,
937,32469.0,868.0,
938,32484.0,853.0,
939,32505.0,832.0,
940,32494.0,843.0,
941,32504.0,833.0,
942,32517.0,820.0,
943,32501.0,836.0,
944,32517.0,820.0,
945,32475.0,862.0,
946,32527.0,810.0,
947,32475.0,862.0,
948,32526.0,811.0,
949,32475.0,862.0,
950,32554.0,783.0,
951,32473.0,864.0,
952,32554.0,783.0,
953,32461.0,876.0,
954,32549.0,788.0,
955,32461.0,876.0,
956,32554.0,783.0,
957,32447.0,890.0,
958,32542.0,795.0,
959,32459.0,878.0,
960,32568.0,769.0,
961,32450.0,887.0,
962,32568.0,769.0,
963,32450.0,887.0,
964,32587.0,750.0,
965,32477.0,860.0,
966,32571.0,766.0,
967,32480.0,857.0,
968,32559.0,778.0,
969,32500.0,837.0,
970,32540.0,797.0,
971,32546.0,791.0,
972,32540.0,797.0,
973,32549.0,788.0,
974,32543.0,794.0,
975,32549.0,788.0,
976,32553.0,784.0,
977,32533.0,804.0,
978,32528.0,809.0,
979,32508.0,829.0,
980,32525.0,812.0,
981,32501.0,836.0,
982,32525.0,812.0,
983,32524.0,813.0,
984,32569.0,768.0,
985,32519.0,818.0,
986,32558.0,779.0,
987,32546.0,791.0,
988,32598.0,739.0,
989,32518.0,819.0,
990,32600.0,737.0,
991,32525.0,812.0,
992,32604.0,733.0,
993,32506.0,831.0,
994,32569.0,768.0,
995,32531.0,806.0,
996,32532.0,805.0,
997,32534.0,803.0,
998,32556.0,781.0,
999,32558.0,779.0,
1000,32594.0,743.0,
1001,32639.0,698.0,
1002,32622.0,715.0,
1003,32618.0,719.0,
1004,32603.0,734.0,
1005,32634.0,703.0,
1006,32619.0,718.0,
1007,32628.0,709.0,
1008,32624.0,713.0,
1009,32650.0,687.0,
1010,32625.0,712.0,
1011,32672.0,665.0,
1012,32637.0,700.0,
1013,32693.0,644.0,
1014,32675.0,662.0,
1015,32706.0,631.0,
1016,32698.0,639.0,
1017,32687.0,650.0,
1018,32695.0,642.0,
1019,32735.0,602.0,
1020,32746.0,591.0,
1021,32752.0,585.0,
1022,32766.0,571.0,
1023,32773.0,564.0,
1024,32806.0,531.0,
1025,32746.0,591.0,
1026,32789.0,548.0,
1027,32750.0,587.0,
1028,32741.0,596.0,
1029,32743.0,594.0,
1030,32744.0,593.0,
1031,32732.0,605.0,
1032,32824.0,513.0,
1033,32743.0,594.0,
1034,32843.0,494.0,
1035,32762.0,575.0,
1036,32844.0,493.0,
1037,32818.0,519.0,
1038,32790.0,547.0,
1039,32777.0,560.0,
1040,32799.0,538.0,
1041,32768.0,569.0,
1042,32768.0,569.0,
1043,32816.0,521.0,
1044,32768.0,569.0,
1045,32785.0,552.0,
1046,32771.0,566.0,
1047,32794.0,543.0,
1048,32799.0,538.0,
1049,32808.0,529.0,
1050,32795.0,542.0,
1051,32820.0,517.0,
1052,32798.0,539.0,
1053,32803.0,534.0,
1054,32798.0,539.0,
1055,32815.0,522.0,
1056,32812.0,525.0,
1057,32823.0,514.0,
1058,32792.0,545.0,
1059,32818.0,519.0,
1060,32792.0,545.0,
1061,32823.0,514.0,
1062,32807.0,530.0,
1063,32819.0,518.0,
1064,32804.0,533.0,
1065,32804.0,533.0,
1066,32819.0,518.0,
1067,32817.0,520.0,
1068,32820.0,517.0,
1069,32817.0,520.0,
1070,32823.0,514.0,
1071,32838.0,499.0,
1072,32810.0,527.0,
1073,32838.0,499.0,
1074,32815.0,522.0,
1075,32841.0,496.0,
1076,32815.0,522.0,
1077,32851.0,486.0,
1078,32815.0,522.0,
1079,32865.0,472.0,
1080,32815.0,522.0,
1081,32888.0,449.0,
1082,32815.0,522.0,
1083,32881.0,456.0,
1084,32826.0,511.0,
1085,32872.0,465.0,
1086,32826.0,511.0,
1087,32851.0,486.0,
1088,32826.0,511.0,
1089,32851.0,486.0,
1090,32819.0,518.0,
1091,32848.0,489.0,
