step,temperature,beta,gamma_base,gamma_pulse,gamma
281,0.9975271,1.002479,0.85993,0.0,0.85993
282,0.9969469,1.0030625,0.8594297,0.0,0.8594297
283,0.9963666,1.0036466,0.85892946,0.0,0.85892946
284,0.99578637,1.0042315,0.8584292,0.0,0.8584292
285,0.9952061,1.004817,0.857929,0.0,0.857929
286,0.9946258,1.0054033,0.8574287,0.0,0.8574287
287,0.99404556,1.0059901,0.85692847,0.0,0.85692847
288,0.9934653,1.0065777,0.8564282,0.0,0.8564282
289,0.99288505,1.0071659,0.85592794,0.0,0.85592794
290,0.9923048,1.0077549,0.85542774,0.0,0.85542774
291,0.99172455,1.0083445,0.8549275,0.0,0.8549275
292,0.9911443,1.0089349,0.8544272,0.0,0.8544272
293,0.990564,1.0095259,0.85392696,0.0,0.85392696
294,0.98998374,1.0101177,0.8534267,0.0,0.8534267
295,0.9894035,1.01071,0.8529265,0.0,0.8529265
296,0.98882324,1.0113031,0.8524262,0.0,0.8524262
297,0.988243,1.0118968,0.85192597,0.0,0.85192597
298,0.9876627,1.0124915,0.8514257,0.0,0.8514257
299,0.9870825,1.0130866,0.85092545,0.0,0.85092545
300,0.9865022,1.0136825,0.85042524,0.0,0.85042524
301,0.9859219,1.0142791,0.8499249,0.0,0.8499249
302,0.98534167,1.0148764,0.8494247,0.0,0.8494247
303,0.9847614,1.0154744,0.84892446,0.0,0.84892446
304,0.98418117,1.0160731,0.8484242,0.0,0.8484242
305,0.98360085,1.0166726,0.847924,0.0,0.847924
306,0.98302066,1.0172726,0.8474237,0.0,0.8474237
307,0.98244035,1.0178735,0.8469235,0.0,0.8469235
308,0.9818601,1.018475,0.8464232,0.0,0.8464232
309,0.98127985,1.0190773,0.84592295,0.0,0.84592295
310,0.9806996,1.0196803,0.8454227,0.0,0.8454227
311,0.98011935,1.0202839,0.8449224,0.0,0.8449224
312,0.97953904,1.0208883,0.8444222,0.0,0.8444222
313,0.97895885,1.0214934,0.84392196,0.0,0.84392196
314,0.97837853,1.0220993,0.8434217,0.0,0.8434217
315,0.9777983,1.0227058,0.84292144,0.0,0.84292144
316,0.97721803,1.023313,0.8424212,0.0,0.8424212
317,0.9766378,1.023921,0.841921,0.0,0.841921
318,0.9760575,1.0245298,0.8414207,0.0,0.8414207
319,0.9754772,1.0251392,0.84092045,0.0,0.84092045
320,0.97489697,1.0257494,0.8404202,0.0,0.8404202
321,0.9743167,1.0263603,0.8399199,0.0,0.8399199
322,0.97373646,1.0269719,0.8394197,0.0,0.8394197
323,0.9731562,1.0275842,0.83891946,0.0,0.83891946
324,0.97257596,1.0281973,0.8384192,0.0,0.8384192
325,0.9719957,1.0288111,0.83791894,0.0,0.83791894
326,0.9714154,1.0294257,0.8374187,0.0,0.8374187
327,0.97083515,1.030041,0.8369185,0.0,0.8369185
328,0.9702549,1.030657,0.8364182,0.0,0.8364182
329,0.96967465,1.0312737,0.83591795,0.0,0.83591795
330,0.9690944,1.0318912,0.8354177,0.0,0.8354177
331,0.96851414,1.0325094,0.8349174,0.0,0.8349174
332,0.9679339,1.0331284,0.8344172,0.0,0.8344172
333,0.9673536,1.0337481,0.83391696,0.0,0.83391696
334,0.96677333,1.0343686,0.8334167,0.0,0.8334167
335,0.9661931,1.0349898,0.83291644,0.0,0.83291644
336,0.9656128,1.0356117,0.8324162,0.0,0.8324162
337,0.9650326,1.0362345,0.831916,0.0,0.831916
338,0.9644523,1.0368578,0.8314157,0.0,0.8314157
339,0.9638721,1.037482,0.83091545,0.0,0.83091545
340,0.96329176,1.038107,0.8304152,0.0,0.8304152
341,0.9627115,1.0387328,0.8299149,0.0,0.8299149
342,0.96213126,1.0393592,0.8294147,0.0,0.8294147
343,0.961551,1.0399864,0.82891446,0.0,0.82891446
344,0.96097076,1.0406144,0.8284142,0.0,0.8284142
345,0.96039045,1.0412432,0.82791394,0.0,0.82791394
346,0.95981026,1.0418726,0.8274137,0.0,0.8274137
347,0.95922995,1.0425029,0.8269135,0.0,0.8269135
348,0.9586497,1.0431339,0.8264132,0.0,0.8264132
349,0.95806944,1.0437657,0.82591295,0.0,0.82591295
350,0.9574892,1.0443982,0.8254127,0.0,0.8254127
