method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
lqa,0,3023034169,-1627.0,,6.0,0.003674219228413962,False,,0,0.11846712499391288
qefem,1,2350436485,-1633.0,,0.0,0.0,True,,12,160.19359524999163
lqa,1,2350436485,-1623.0,,10.0,0.00612369871402327,False,,0,0.11977154199848883
qefem,2,1264762610,-1633.0,,0.0,0.0,True,,72,176.29638225000235
lqa,2,1264762610,-1627.0,,6.0,0.003674219228413962,False,,0,0.12226079200627282
qefem,3,3706888215,-1633.0,,0.0,0.0,True,,62,180.09449887499795
lqa,3,3706888215,-1631.0,,2.0,0.001224739742804654,False,,0,0.1232584579847753
qefem,4,1998018859,-1633.0,,0.0,0.0,True,,13,180.16267333299038
lqa,4,1998018859,-1631.0,,2.0,0.001224739742804654,False,,0,0.12219166601425968
qefem,5,2635702546,-1633.0,,0.0,0.0,True,,0,180.0782691659988
lqa,5,2635702546,-1627.0,,6.0,0.003674219228413962,False,,0,0.12297004199353978
qefem,6,2887637823,-1633.0,,0.0,0.0,True,,19,180.26682895800332
lqa,6,2887637823,-1627.0,,6.0,0.003674219228413962,False,,0,0.1231190419930499
qefem,7,234461649,-1633.0,,0.0,0.0,True,,92,180.46770466602175
lqa,7,234461649,-1629.0,,4.0,0.002449479485609308,False,,0,0.12337941699661314
qefem,8,1714904509,-1633.0,,0.0,0.0,True,,14,180.03124454099452
lqa,8,1714904509,-1629.0,,4.0,0.002449479485609308,False,,0,0.1221137499960605
qefem,9,773750984,-1633.0,,0.0,0.0,True,,149,180.38021466700593
lqa,9,773750984,-1627.0,,6.0,0.003674219228413962,False,,0,0.12157641700468957
qefem,0,530451229,-1592.0,,0.0,0.0,True,,0,180.06960987500497
lqa,0,530451229,-1592.0,,0.0,0.0,True,,0,0.12202125001931563
qefem,1,2240081824,-1592.0,,0.0,0.0,True,,4,178.41165475000162
lqa,1,2240081824,-1590.0,,2.0,0.001256281407035176,False,,0,0.12198420797358267
qefem,2,2014651604,-1592.0,,0.0,0.0,True,,0,178.74112020799657
lqa,2,2014651604,-1590.0,,2.0,0.001256281407035176,False,,0,0.12293774998397566
qefem,3,3272399299,-1592.0,,0.0,0.0,True,,0,178.42239529200015
lqa,3,3272399299,-1588.0,,4.0,0.002512562814070352,False,,0,0.12167966598644853
qefem,4,4020777971,-1592.0,,0.0,0.0,True,,3,178.18902537497343
lqa,4,4020777971,-1592.0,,0.0,0.0,True,,0,0.12017108299187385
qefem,5,104767086,-1592.0,,0.0,0.0,True,,1,179.11859325002297
lqa,5,104767086,-1590.0,,2.0,0.001256281407035176,False,,0,0.11945895798271522
qefem,6,3091847888,-1592.0,,0.0,0.0,True,,1,178.4665385829867
lqa,6,3091847888,-1586.0,,6.0,0.0037688442211055275,False,,0,0.1203936249949038
qefem,7,423605196,-1592.0,,0.0,0.0,True,,0,177.6278465409996
lqa,7,423605196,-1592.0,,0.0,0.0,True,,0,0.121511167002609
qefem,8,746326576,-1592.0,,0.0,0.0,True,,3,177.82672441701288
lqa,8,746326576,-1586.0,,6.0,0.0037688442211055275,False,,0,0.12227999998140149
qefem,9,1345952358,-1592.0,,0.0,0.0,True,,3,177.99943595801597
lqa,9,1345952358,-1592.0,,0.0,0.0,True,,0,0.11960462498245761
qefem,0,3746924676,-1536.0,,0.0,0.0,True,,3,178.01062837502104
lqa,0,3746924676,-1536.0,,0.0,0.0,True,,0,0.12161404200014658
qefem,1,383532789,-1536.0,,0.0,0.0,True,,4,178.36621058301535
lqa,1,383532789,-1534.0,,2.0,0.0013020833333333333,False,,0,0.12263804202666506
qefem,2,1256546837,-1536.0,,0.0,0.0,True,,2,178.49210633299663
lqa,2,1256546837,-1536.0,,0.0,0.0,True,,0,0.12114483298501
qefem,3,3459137805,-1536.0,,0.0,0.0,True,,0,179.34554791700793
lqa,3,3459137805,-1534.0,,2.0,0.0013020833333333333,False,,0,0.12279166601365432
qefem,4,1239177952,-1536.0,,0.0,0.0,True,,1,179.11515904098633
lqa,4,1239177952,-1534.0,,2.0,0.0013020833333333333,False,,0,0.1231135840062052
qefem,5,2246152507,-1536.0,,0.0,0.0,True,,0,179.56591058298363
lqa,5,2246152507,-1534.0,,2.0,0.0013020833333333333,False,,0,0.12252279097447172
qefem,6,3991506314,-1536.0,,0.0,0.0,True,,3,179.263158457994
lqa,6,3991506314,-1536.0,,0.0,0.0,True,,0,0.1208420839975588
qefem,7,2856244789,-1536.0,,0.0,0.0,True,,0,180.53469933298766
lqa,7,2856244789,-1536.0,,0.0,0.0,True,,0,0.12192004200187512
qefem,8,980884606,-1536.0,,0.0,0.0,True,,1,179.87484395800857
lqa,8,980884606,-1536.0,,0.0,0.0,True,,0,0.12051049998262897
qefem,9,4201941292,-1536.0,,0.0,0.0,True,,1,179.99164008401567
lqa,9,4201941292,-1536.0,,0.0,0.0,True,,0,0.12181966699426994
